Title Dataset;DOI Dataset;UUID 4TU;UUID Research output;Type Research output;UUID Dataset;DOI Research output;Title Research output;Date made available
A Food Composition Database of 4 different datasets from Denmark, Japan, FAO and the USA;10.4121/17206607;94c089f4-5cca-4c3e-9346-42b850254d30;55e0e023-22d2-42c9-a4e7-1e098be3c3e8;Article;ecf7e219-acd4-4c65-a242-07e1d81d974f;10.3390/su12187488;A Worldwide Hotspot Analysis on Food Loss and Waste, Associated Greenhouse Gas Emissions, and Protein Losses;15-12-2021 00:00
Accompanying data and R scripts: Mapping the spatial distribution and geographic shift of East African highland banana (Musa sp.) cropping systems in Uganda;10.4121/16908469;eae58ddc-a735-4a3a-a29e-b32c21eed094;e6c47490-50a1-49ec-9158-3aaa67be1a8e;Article;9fbfc996-b305-466c-b7cd-13ed589edaac;10.1371/journal.pone.0263439;Mapping spatial distribution and geographic shifts of East African highland banana (Musa spp.) in Uganda;2-11-2021 00:00
Acoustic Surface Elevation Dynamics data Marconi salt marsh;10.4121/16782613;d0870df1-f842-4deb-ab7c-c2d106043317;35995655-c7fc-44f8-91ef-296a55ea285a;Article;c6890ae2-ed0a-4948-ae40-670bc23c891f;10.3389/fmars.2021.793235;Facilitating Salt Marsh Restoration: The Importance of Event-Based Bed Level Dynamics and Seasonal Trends in Bed Level Change;10-1-2022 00:00
Aeolian saltation mass flux and shear velocity measurements;10.4121/uuid:68f38ffd-584b-4972-99ed-b182ccee137d;0d960b28-5277-46a5-b615-3ba2c99573e1;;;7c8a9505-1fcb-442c-a292-56e04c3fd1a0;;;5-1-2018 00:00
"Amino acid data set support the manuscript: ""Reconstructing the diet, trophic level, and migration pattern of Mysticete whales based on baleen isotopic composition.""";10.4121/16578503;f4288b42-7385-4753-a779-a67f62c5db47;950a5053-4eb1-4e59-9027-188336c4c666;Article;238acf2a-81e1-48f2-b604-297ce9d78dad;10.1098/rsos.210949;Reconstructing the diet, trophic level and migration pattern of mysticete whales based on baleen isotopic composition;26-11-2021 00:00
Ammonia emission experiments field-applied manure conducted in The Netherlands in 1989-2021;10.4121/a5ec3e90-b25e-4ac0-9f18-4ea559cd2abb;a5ec3e90-b25e-4ac0-9f18-4ea559cd2abb;bdc4d330-60a5-49d7-8796-17d927782c02;Report;c3c2b181-0b32-492d-8e1d-f3109305ada1;10.18174/637101;Data repository and R programs for 414 ammonia emission experiments with field-applied manure conducted in The Netherlands in 1989-2021;19-2-2026 00:00
Amsterdam floating litter dataset August 2022;10.4121/6ee9946f-9ff5-4019-9d91-03e1c5283210;6ee9946f-9ff5-4019-9d91-03e1c5283210;1d936ed6-1022-469c-b56c-0d0f9d4a633c;Article;35ebfd30-a72a-44af-84d2-0a4a80efe5e1;10.1016/j.scitotenv.2024.173294;Defining plastic pollution hotspots;8-11-2023 00:00
Analysis output from: Potential of boreholes combined with deep-rooted cover crops to ameliorate subsoil compaction;10.4121/f2aa4e23-3779-4b80-9fb5-c97a82f73633;f2aa4e23-3779-4b80-9fb5-c97a82f73633;c2ff5162-d6c1-4855-93d6-30743b8a055e;Report;56bffd52-dec3-4378-98d5-453d7ccf26b9;10.18174/588727;Potential of boreholes combined with deep-rooted cover crops to ameliorate subsoil compaction;1-2-2024 00:00
Analysis results of the paper baseLess: Lightweight detection of sequences in raw MinION data;10.4121/20261392;a1b44c8b-14a9-406a-a107-3d10604a652b;87cb59e3-527a-4ba2-91fe-bc94c68dfbfb;Article;bb2d0b42-c757-43c8-996f-44a61c2bea0c;10.1093/bioadv/vbad017;baseLess: lightweight detection of sequences in raw MinION data;18-7-2022 00:00
Annotated genomes used in the publication: Machine learning approaches to predict the plant-associated phenotype of Xanthomonas strains;10.4121/14546625;f6dca544-d397-43fa-bb3d-a176bea9988b;9ae38e1f-6589-430b-9615-ef3719cca643;Software;104d8def-f1c9-4c89-8fed-45edec17851e;;Xanthomonas phenotype prediction;8-7-2021 00:00
Annotated genomes used in the publication: Machine learning approaches to predict the plant-associated phenotype of Xanthomonas strains;10.4121/14546625;f6dca544-d397-43fa-bb3d-a176bea9988b;9ae38e1f-6589-430b-9615-ef3719cca643;Software;104d8def-f1c9-4c89-8fed-45edec17851e;;Xanthomonas phenotype prediction;8-7-2021 00:00
