UUID Dataset,Title Dataset,DOI Dataset,UUID Research output,group_id,4TU resource_title,4TU resource_doi,4TU references
5c349375-0dd5-4799-b5b8-5775bd6ef80c,"Data underlying the publication: ""Freshwater fish biodiversity restoration in floodplain rivers requires connectivity and habitat heterogeneity at multiple spatial scales""",10.4121/20014862,9cc89932-3995-45ed-9e80-88e85d9d4829,28595,Freshwater fish biodiversity restoration in floodplain rivers requires connectivity and habitat heterogeneity at multiple spatial scales,10.1016/j.scitotenv.2022.156509,[]
fac2f69c-850e-4836-a76e-b38d65ebda17,Data underlying the publication: Gaming the Unknown: Learning to differentiate and respond to uncertainty through a serious game,10.4121/fac2f69c-850e-4836-a76e-b38d65ebda17,,28595,Gaming the Unknown: Learning to differentiate and respond to uncertainty through a serious game,,[]
2b7e832f-12e9-4d0e-92e2-5aef9bcf9142,Data underlying the publication: Improving the 3D Representation of Plant Architecture and Parameterization Efficiency of Functional-Structural Tree Models using Terrestrial LiDAR Data,10.4121/2b7e832f-12e9-4d0e-92e2-5aef9bcf9142,,28595,,,"['https://doi.org/10.3390/f10060527', 'https://edepot.wur.nl/309918', 'https://doi.org/10.3390/rs5020491']"
a24d339a-29ba-4c89-a51b-aefa6c804e2e,Data underlying the publication: Integration of six field studies to assess soil suppressiveness against Globisporangium ultimum under different management practices,10.4121/a24d339a-29ba-4c89-a51b-aefa6c804e2e,,28595,Integration of six field studies to assess soil suppressiveness against Globisporangium ultimum under different management practices,,[]
f4b0d921-5c7d-49f8-abd1-5d13169139db,Data underlying the publication: Subaqueous resetting of the luminescence clock: bleaching of sand-sized quartz and feldspar in coastal waters,10.4121/f4b0d921-5c7d-49f8-abd1-5d13169139db,,28595,Subaqueous resetting of the luminescence clock: bleaching of sand-sized quartz and feldspar in coastal waters,,[]
dbeeeccc-0285-496c-9c8a-591bef50de9a,Data underlying the publication: Toward Nitrous Oxide-Free Ammonium Treatment: Integrating Hydrogenotrophic Denitrification in Anoxic Bioanodes,10.4121/dbeeeccc-0285-496c-9c8a-591bef50de9a,,28595,Toward Nitrous Oxide-Free Ammonium Treatment: Integrating Hydrogenotrophic Denitrification in Anoxic Bioanodes,10.1021/acs.estlett.5c01096,[]
e532cc02-feed-4e2a-a27c-c42d851abef9,"Data underlying the publication: “Spatial and seasonal variation in phytoplankton abundance and composition in Lake Victoria’s Mwanza Gulf, compared to northern parts of the lake”",10.4121/21890640,c782d878-27e6-4ed8-8cc0-e56058f33ff3,28595,"Spatial and seasonal variation in the phytoplankton community of Lake Victoria’s Mwanza Gulf, compared to northern parts of the lake",10.1016/j.jglr.2023.02.002,[]
3bcb20ce-193d-4d1f-b726-3112cee1aad1,Data underlying: 'Assessing the spatio-temporal cumulative drought effects on two Mediterranean forest types in Central Chile.',10.4121/3bcb20ce-193d-4d1f-b726-3112cee1aad1,,28595,Assessing the spatio-temporal cumulative drought effects on two Mediterranean forest types in Central Chile,,[]
449bac03-b291-4226-8484-944670081432,Data underlying: Ionic regulation of thylakoid membrane architecture: Mg²⁺-driven destacking and restacking visualised,10.4121/449bac03-b291-4226-8484-944670081432,,28595,Ionic regulation of thylakoid membrane architecture: Mg²⁺-driven destacking and restacking visualized,10.1093/plphys/kiag101,[]
b8f6c0bf-8a0d-4392-9081-8af2a18312f2,"Dataset accompanying ""Anaerobic sulphide removal involves an intricate interplay between biomass, biosulphur, and dissolved compounds""",10.4121/b8f6c0bf-8a0d-4392-9081-8af2a18312f2,,28595,"Anaerobic sulphide removal involves an intricate interplay between biomass, biosulphur, and dissolved compounds",,[]
1151d7f1-4137-4427-875c-27af6dee0158,"Dataset belonging to the paper Seasonal variation in prey preference, diet partitioning and niche breadth in a rich large carnivore guild",10.4121/21915834,3c1d18cd-6a9d-449e-93cb-0ed620089143,28595,"Seasonal variation in prey preference, diet partitioning and niche breadth in a rich large carnivore guild",10.1111/aje.13098,[]
6350e7f5-2950-4dfa-acb9-c4ca249392fd,"Dataset for ""Identifying Local Gradients in Methane Producing Biocathodes""",10.4121/6350e7f5-2950-4dfa-acb9-c4ca249392fd,,28595,Identifying Local Gradients in Methane Producing Biocathodes,10.1016/j.tibtech.2025.07.022,[]
1835e7fd-802c-47d4-81f5-3e76c485a809,Dataset linking the ‘landschappelijke bodemkaart’ (LBK) and ‘bodemfysische eenhedenkaart’ (BOFEK),10.4121/1835e7fd-802c-47d4-81f5-3e76c485a809,,28595,Synergie in Landschappelijke en Bodemfysische eenheden,10.18174/674559,"['https://edepot.wur.nl/541544', 'https://doi.org/10.18174/641887']"
