UUID Research output,Type Research output,UUID Dataset,DOI Research output,Title Research output,Title Dataset,DOI Dataset,group_id,4TU resource_title,4TU resource_doi,4TU references
5db6250a-449e-4ad7-919b-33a64e1b7e87,Article,4a3e7c30-934a-4b4e-814e-38cccb9ac980,10.1016/j.bioflm.2021.100064,The effect of intermittent anode potential regimes on the morphology and extracellular matrix composition of electro-active bacteria,Experimental data: The effect of intermittent anode potential regimes on the morphology and extracellular matrix composition of electro-active bacteria,10.4121/20200007,28595,,,[]
a73ec0ea-cf88-44b9-8690-2d4ef57af31b,Article,f64ad17f-fed4-4b61-90a8-e3fa60e9a862,10.1111/gcbb.13006,Investigating the potential of Andean lupin as a lignocellulosic feedstock for Europe,Genotyping data underlying the publication: Investigating the potential of Andean lupin as a lignocellulosic feedstock for Europe: first genome-wide association study on L. mutabilis biomass quality.,10.4121/21334146,28595,,,[]
efceb0bc-40c2-45ec-96c5-6559842d267c,Article,3f5d76d4-c361-4158-84f9-fef02b2db898,10.1186/s43591-024-00100-x,Riverbank plastic distributions and how to sample them,"MATLAB scripts, files, and datasets supplementary to the paper ""Riverbank plastic distributions and how to sample them""",10.4121/3f5d76d4-c361-4158-84f9-fef02b2db898,28595,,,[]
ad05d567-da0b-469b-a76f-c0bfd4e3b489,Article,0c23c329-fe47-48db-a75a-5ee6af07d1f3,10.1371/journal.pone.0074007,Measuring fast-temporal sediment fluxes with an analogue acoustic sensor: a wind tunnel study,Measuring fast-temporal sediment fluxes with an analogue acoustic sensor: a wind tunnel study,10.4121/uuid:7f4c6e00-4e51-4dc3-a304-57fc2f7f3b19,28595,,,[]
fb748856-0348-4ede-957c-979e9176267a,Article,4f4eb3a7-4e7f-47e1-b047-b5dd4738dded,10.1038/s43016-021-00425-3,Circularity in animal production requires a change in the EAT-Lancet diet in Europe,Model and input data related to: Circularity in animal production requires a change in the EAT-Lancet diet in Europe,10.4121/16918732,28595,,,[]
dc7d7188-47e5-4be5-aa46-f8f8a5ea15a8,Article,2493b80b-f2fa-403f-8e84-475305a80528,10.7717/peerj.8823,Capturing variation in floral shape; a virtual3D based morphospace for Pelargonium,Pelargonium geometric morphometric data,10.4121/uuid:7457eadf-5ad6-4221-b4ea-85c73b91098b,28595,,,[]
d93e7e9e-4ba3-467b-9fb7-80f09df34d0d,Article,17fe54a9-5bca-4071-b282-fc5ffad0d53a,10.1371/journal.pone.0291896,The optimisation of Salmonella surveillance programmes for pullet and layer farms using local farm density as a risk factor,Salmonella surveillance data for Israeli poultry farms during 2017-2019,10.4121/17fe54a9-5bca-4071-b282-fc5ffad0d53a,28595,,,[]
8d7bd4b6-56c4-4b9b-8bcb-cf0396d7e8f4,Article,13f4d7fa-63d2-4892-ab7e-36ff08cb410e,10.1093/g3journal/jkae175,Cross-species transcriptomics reveals differential regulation of essential photosynthesis genes in Hirschfeldia incana,Software supporting: Analysis of natural variation in photosynthesis in a panel of Brassicaceae species,10.4121/13f4d7fa-63d2-4892-ab7e-36ff08cb410e,28595,,,[]
8d7bd4b6-56c4-4b9b-8bcb-cf0396d7e8f4,Article,d3455b3c-54d8-4ef8-8501-a70936a51dad,10.1093/g3journal/jkae175,Cross-species transcriptomics reveals differential regulation of essential photosynthesis genes in Hirschfeldia incana,Supplementary Information: RNA-Seq analysis of Brassicaceae species under different irradiances,10.4121/d3455b3c-54d8-4ef8-8501-a70936a51dad,28595,,,[]
9f1cfb3f-7ccd-494a-8e45-859037d0d8dc,Preprint,3e76dc2e-c9b6-4cbf-8456-c2ef8bfd60cd,10.1101/2023.05.03.539295,Genome assembly and analysis of Lactuca virosa; implications for lettuce breeding,Supplementary data for the publication: Genome assembly and analysis of Lactuca virosa: implications for lettuce breeding,10.4121/21900588,28595,,,[]
581575e5-c9da-42c9-a3f7-c9f2e8ec3fbf,"internal PhD, WU",275985e0-60e6-4175-a2f3-7322b36997bb,10.18174/548038,Exploration of sulfur-cycling microorganisms from anoxic Black Sea waters and sediment,Supplementary material: Sulfidogenic bacteria enriched from deep anoxic Black Sea sediment and the description of Desulfopila canfieldii sp. nov.,10.4121/13317545,28595,,,[]
087725a3-bcd6-48d6-b657-0addf5d9ecc5,"internal PhD, WU",72161d86-4bc1-4312-a149-8db03d5c46b5,10.18174/589142,"Comparative genomics and trait evolution in lettuce, its wild relatives and the Asteraceae","Supplementary materials for PhD thesis: Comparative Genomics and Trait Evolution in Lettuce, its Wild Relatives and the Asteraceae",10.4121/21803436,28595,,,[]
c87eb0f8-bac8-4a36-b164-af110c49403e,Article,de30e0a9-d6fa-4b7d-a3cd-dcfe12df0003,10.1111/ddi.13266,A matter of time,The Ossekampen Grassland Experiment: Data underlying the publication: A matter of time: recovery of plant species diversity in wild plant communities at declining nitrogen deposition,10.4121/13200398,28595,,,[]
